trial_num,trial_type,protocol_day,trial_name,old_suffix,new_suffix,,trial_num,trial_type,protocol_day,trial_block,trial_name,old_suffix,new_suffix
1,spatial,1,trial_1,_s_1,_1,,1,visible,1,1.1,trial_1,_c_1,_1
2,spatial,1,trial_2,_s_2,_2,,2,visible,1,1.1,trial_2,_c_2,_2
3,spatial,1,trial_3,_s_3,_3,,3,visible,1,1.1,trial_3,_c_3,_3
4,spatial,1,trial_4,_s_4,_4,,4,visible,1,1.2,trial_4,_c_4,_4
5,spatial,1,trial_5,_s_5,_5,,5,visible,1,1.2,trial_5,_c_5,_5
6,spatial,1,trial_6,_s_6,_6,,6,visible,1,1.2,trial_6,_s_6,_6
7,spatial,2,trial_7,_s_7,_7,,7,visible,1,1.3,trial_7,_s_7,_7
8,spatial,2,trial_8,_s_8,_8,,8,visible,1,1.3,trial_8,_s_8,_8
9,spatial,2,trial_9,_s_9,_9,,9,visible,1,1.3,trial_9,_s_9,_9
10,spatial,2,trial_10,_s_10,_10,,10,visible,1,1.4,trial_10,_s_10,_10
11,spatial,2,trial_11,_s_11,_11,,11,visible,1,1.4,trial_11,_s_11,_11
12,spatial,2,trial_12,_s_12,_12,,12,visible,1,1.4,trial_12,_s_12,_12
13,spatial,3,trial_13,_s_13,_13,,13,visible,1,1.5,trial_13,_s_13,_13
14,spatial,3,trial_14,_s_14,_14,,14,visible,1,1.5,trial_14,_s_14,_14
15,spatial,3,trial_15,_s_15,_15,,15,visible,1,1.5,trial_15,_s_15,_15
16,spatial,3,trial_16,_s_16,_16,,16,spatial,4,2.1,trial_16,_s_16,_16
17,spatial,3,trial_17,_s_17,_17,,17,spatial,4,2.1,trial_17,_s_17,_17
18,spatial,3,trial_18,_s_18,_18,,18,spatial,4,2.1,trial_18,_s_18,_18
19,spatial,4,trial_19,_s_19,_19,,19,spatial,4,2.2,trial_19,_s_19,_19
20,spatial,4,trial_20,_s_20,_20,,20,spatial,4,2.2,trial_20,_s_20,_20
21,spatial,4,trial_21,_s_21,_21,,21,spatial,4,2.2,trial_21,_s_21,_21
22,spatial,4,trial_22,_s_22,_22,,22,spatial,4,2.3,trial_22,_s_22,_22
23,spatial,4,trial_23,_s_23,_23,,23,spatial,4,2.3,trial_23,_s_23,_23
24,spatial,4,trial_24,_s_24,_24,,24,spatial,4,2.3,trial_24,_s_24,_24
25,probe,4,trial_25,_p_25,_25,,25,spatial,4,2.4,trial_25,_p_25,_25
26,visible,5,trial_26,_c_1,_26,,26,spatial,4,2.4,trial_26,_c_1,_26
27,visible,5,trial_27,_c_2,_27,,27,spatial,4,2.4,trial_27,_c_2,_27
28,visible,5,trial_28,_c_3,_28,,28,spatial,4,2.5,trial_28,_c_3,_28
29,visible,5,trial_29,_c_4,_29,,29,spatial,4,2.5,trial_29,_c_4,_29
30,visible,5,trial_30,_c_5,_30,,30,spatial,4,2.5,trial_30,_c_5,_30
31,visible,5,trial_31,_c_6,_31,,31,probe,4,2.5,trial_31,_c_6,_31
32,visible,6,trial_32,_c_7,_32,,32,spatial,5,2.6,trial_32,_c_7,_32
33,visible,6,trial_33,_c_8,_33,,33,spatial,5,2.6,trial_33,_c_8,_33
34,visible,6,trial_34,_c_9,_34,,34,spatial,5,2.6,trial_34,_c_9,_34
35,visible,6,trial_35,_c_10,_35,,35,probe,5,2.6,trial_35,_c_10,_35
36,visible,6,trial_36,_c_11,_36,,,,,,,,
37,visible,6,trial_37,_c_12,_37,,,,,,,,
